sleep,stress,focus,screen_time,risk_score,risk_level
5.6,9.0,2.4,13.0,87,High
6.5,9.3,7.3,7.2,62,Moderate
8.5,10.0,8.1,5.1,46,Moderate
5.2,2.6,3.9,7.2,49,Moderate
6.1,4.6,8.7,10.7,51,Moderate
7.8,7.8,9.2,2.1,44,Low
5.1,7.3,3.5,9.1,65,Moderate
4.4,2.4,9.9,9.4,37,Low
5.4,8.3,2.3,9.7,79,High
4.8,3.0,2.8,4.9,46,Moderate
8.6,3.0,2.7,10.6,43,Low
8.0,5.8,9.0,3.1,23,Low
7.2,6.3,6.9,4.4,45,Moderate
8.4,6.2,2.4,12.5,68,Moderate
8.0,1.8,5.0,10.9,32,Low
4.9,8.9,6.5,2.2,61,Moderate
8.5,3.4,1.8,5.0,40,Low
6.7,2.2,8.9,4.6,20,Low
8.0,9.0,8.2,5.2,49,Moderate
8.5,9.6,5.5,5.0,57,Moderate
5.6,8.8,9.7,2.8,43,Low
4.6,8.3,4.8,7.5,70,Moderate
5.1,6.9,9.9,10.8,49,Moderate
6.1,6.0,7.0,9.3,58,Moderate
8.1,1.8,6.7,10.1,23,Low
8.3,4.7,2.5,3.0,41,Low
4.0,4.4,8.9,13.4,59,Moderate
6.6,3.3,4.8,12.1,51,Moderate
6.1,7.5,2.5,11.7,73,Moderate
5.1,5.5,1.1,11.9,72,Moderate
4.6,1.7,6.0,13.2,59,Moderate
5.7,3.0,5.7,8.5,30,Low
8.7,7.1,7.5,4.4,44,Low
5.6,1.7,9.0,9.4,35,Low
6.6,8.7,1.7,10.9,73,Moderate
7.5,5.5,7.6,10.9,44,Low
5.8,5.3,2.7,8.3,67,Moderate
8.9,6.3,8.7,2.8,22,Low
8.8,8.4,8.4,6.5,40,Low
5.3,4.1,5.9,13.0,66,Moderate
6.5,7.1,7.4,9.0,58,Moderate
5.5,6.1,3.8,8.5,56,Moderate
5.4,3.4,5.2,5.2,39,Low
4.2,8.9,8.4,6.4,59,Moderate
7.0,8.2,5.1,12.7,79,High
6.5,6.9,4.2,10.0,70,Moderate
4.3,8.7,5.4,11.4,84,High
5.4,8.8,8.5,7.5,64,Moderate
8.5,7.4,4.0,9.6,67,Moderate
5.2,8.5,2.6,5.0,67,Moderate
4.7,7.3,7.4,10.5,61,Moderate
6.4,7.1,8.4,7.1,52,Moderate
8.9,6.6,1.9,7.3,63,Moderate
5.2,7.8,3.2,9.8,69,Moderate
7.4,2.4,2.3,13.2,51,Moderate
7.8,8.9,4.1,2.8,53,Moderate
5.2,8.8,5.1,11.9,81,High
7.6,1.3,7.7,5.5,12,Low
5.8,8.4,6.9,7.3,67,Moderate
7.2,2.2,6.6,2.3,28,Low
7.2,4.0,4.2,5.6,39,Low
6.7,7.7,8.6,8.0,49,Moderate
4.5,2.4,5.2,2.7,23,Low
8.2,8.4,9.8,7.9,50,Moderate
5.6,8.5,6.7,13.1,83,High
4.9,5.6,2.1,3.3,54,Moderate
4.2,1.1,7.1,11.2,43,Low
7.0,3.6,3.9,6.9,38,Low
7.4,6.6,7.2,9.9,48,Moderate
4.1,9.8,1.6,5.1,83,High
6.6,6.7,2.6,3.9,56,Moderate
5.1,3.3,8.7,3.9,21,Low
7.2,6.7,3.0,2.8,53,Moderate
4.9,5.9,8.5,4.2,45,Moderate
7.5,8.0,3.5,10.0,74,Moderate
5.9,2.0,6.8,12.6,39,Low
8.7,7.8,7.2,11.8,53,Moderate
4.7,5.9,5.6,10.2,63,Moderate
5.7,9.7,3.7,3.3,66,Moderate
4.6,4.1,2.9,5.5,59,Moderate
8.6,6.7,1.3,5.7,55,Moderate
8.4,9.4,3.7,5.0,56,Moderate
5.3,1.9,6.9,8.2,31,Low
7.3,9.4,9.4,8.4,65,Moderate
8.1,7.2,8.8,6.3,37,Low
6.8,1.6,7.9,6.2,31,Low
6.6,3.7,8.1,11.9,45,Moderate
5.2,7.4,7.0,11.5,77,High
4.5,1.6,3.3,5.7,42,Low
8.5,6.2,9.2,13.0,51,Moderate
8.5,4.1,7.0,13.4,45,Moderate
7.2,6.6,6.0,5.9,45,Moderate
5.7,1.4,2.0,6.3,40,Low
5.7,8.8,5.0,8.1,70,Moderate
7.6,9.8,5.1,13.3,77,High
8.5,9.7,8.8,12.5,66,Moderate
8.4,7.7,5.9,3.2,41,Low
7.9,2.2,4.4,6.7,19,Low
7.2,7.8,9.8,8.6,54,Moderate
4.4,1.2,2.0,8.0,41,Low
4.8,1.2,4.8,4.3,24,Low
8.5,3.9,1.4,12.3,47,Moderate
7.0,5.4,7.7,10.1,40,Low
4.0,7.9,9.3,12.1,66,Moderate
4.5,7.1,3.5,12.3,76,High
7.3,5.0,8.7,11.0,56,Moderate
4.0,3.5,3.6,7.3,49,Moderate
4.8,10.0,9.2,9.3,73,Moderate
6.7,4.8,7.8,3.9,34,Low
7.5,5.1,8.2,10.1,46,Moderate
7.3,2.5,1.2,4.2,33,Low
5.1,8.2,9.7,10.3,59,Moderate
7.6,7.2,7.5,4.8,50,Moderate
5.2,3.0,3.7,3.4,45,Moderate
5.6,1.7,8.5,4.0,12,Low
7.7,7.1,3.5,2.0,37,Low
7.2,6.9,8.9,10.6,53,Moderate
8.2,3.5,2.0,10.8,44,Low
7.3,9.6,7.3,8.2,65,Moderate
6.8,2.4,5.9,3.9,21,Low
4.5,4.9,1.9,3.0,60,Moderate
5.8,9.5,3.2,2.2,67,Moderate
5.3,4.8,1.1,4.0,51,Moderate
5.2,6.7,5.2,12.7,78,High
8.9,4.6,3.7,4.9,39,Low
6.0,3.5,6.4,6.3,34,Low
8.5,9.9,3.7,3.3,51,Moderate
7.2,4.7,3.7,4.7,40,Low
8.0,9.0,7.7,8.2,62,Moderate
6.5,3.1,1.4,9.3,52,Moderate
6.9,2.9,9.1,4.9,15,Low
6.5,1.3,8.7,2.7,8,Low
5.0,6.9,7.0,6.7,55,Moderate
7.6,4.3,6.3,4.8,31,Low
5.4,8.8,9.0,4.6,63,Moderate
4.1,5.3,2.7,13.5,70,Moderate
7.2,9.7,1.7,9.4,81,High
4.9,2.7,3.2,8.7,57,Moderate
8.7,8.8,8.2,7.0,61,Moderate
8.8,8.0,1.3,7.1,58,Moderate
8.6,7.9,6.2,8.5,56,Moderate
5.9,8.6,10.0,10.4,67,Moderate
4.1,7.8,8.7,10.4,70,Moderate
8.6,6.6,5.7,4.1,37,Low
6.1,2.2,1.6,8.0,47,Moderate
8.8,1.3,8.5,6.9,2,Low
8.8,9.3,6.4,12.4,72,Moderate
8.3,6.5,2.0,9.6,61,Moderate
5.5,8.2,1.8,8.4,73,Moderate
5.9,5.3,9.2,3.4,43,Low
8.3,2.1,7.0,9.3,26,Low
5.6,2.1,8.5,3.4,19,Low
4.8,7.2,8.9,6.0,62,Moderate
6.8,4.9,6.1,3.7,31,Low
8.7,2.8,5.7,10.3,33,Low
7.5,5.4,4.9,4.5,38,Low
6.9,1.6,3.9,6.7,36,Low
4.5,6.2,4.9,12.7,75,High
7.1,3.4,8.0,4.5,19,Low
9.0,8.2,6.4,8.1,50,Moderate
4.7,3.8,9.0,7.0,37,Low
6.6,5.1,5.0,2.2,35,Low
8.4,1.1,6.5,11.5,33,Low
7.7,1.7,6.7,2.8,16,Low
7.5,4.5,6.3,7.7,31,Low
7.5,5.3,7.3,8.7,50,Moderate
5.8,6.4,3.1,9.5,67,Moderate
5.5,3.6,5.6,10.3,58,Moderate
8.0,7.3,1.9,5.0,55,Moderate
8.1,8.7,4.5,2.1,53,Moderate
8.3,8.0,5.4,10.7,65,Moderate
8.6,1.4,6.9,8.4,30,Low
6.6,5.3,9.6,12.0,54,Moderate
6.5,1.9,6.4,11.9,42,Low
8.0,3.2,7.7,12.1,52,Moderate
7.2,9.9,5.6,7.8,71,Moderate
7.5,2.3,6.7,6.0,28,Low
8.0,5.5,1.6,11.5,55,Moderate
8.5,6.6,3.3,7.4,45,Moderate
5.7,7.3,4.3,4.2,56,Moderate
5.9,6.0,5.3,12.3,67,Moderate
4.5,1.1,1.4,12.6,54,Moderate
6.9,3.9,2.3,7.6,48,Moderate
4.2,5.7,3.5,2.9,59,Moderate
6.3,1.8,9.7,6.7,26,Low
6.7,4.2,4.0,11.6,50,Moderate
5.4,1.3,5.3,12.8,47,Moderate
7.0,1.7,2.8,4.4,24,Low
4.2,4.6,6.5,2.8,38,Low
4.2,2.2,3.5,12.5,57,Moderate
8.1,6.1,2.9,6.7,47,Moderate
5.8,7.2,5.6,8.5,55,Moderate
4.6,8.2,1.0,13.6,92,High
6.6,2.8,1.1,2.8,31,Low
7.8,2.5,3.0,9.8,27,Low
5.1,1.9,1.3,2.9,45,Moderate
7.1,6.7,2.0,6.5,63,Moderate
4.4,7.4,4.0,11.6,76,High
4.3,1.3,8.2,7.2,32,Low
6.7,9.4,6.1,14.0,75,High
6.7,1.5,5.6,8.7,42,Low
7.2,5.9,3.6,5.9,58,Moderate
7.6,7.4,9.4,4.6,40,Low
8.9,8.8,4.6,6.2,60,Moderate
6.6,7.4,1.8,6.5,63,Moderate
5.6,8.2,6.6,2.8,44,Low
8.0,4.1,2.0,6.4,40,Low
5.4,8.3,4.1,7.6,70,Moderate
6.2,1.7,5.6,10.7,39,Low
4.4,9.1,8.9,9.9,71,Moderate
4.1,5.9,5.4,10.5,67,Moderate
8.8,8.4,7.3,2.1,36,Low
8.2,5.1,9.9,4.6,26,Low
7.5,6.8,2.2,9.9,59,Moderate
6.0,5.7,3.5,7.8,53,Moderate
4.9,7.6,4.6,2.1,46,Moderate
4.8,1.7,4.8,11.7,55,Moderate
5.3,1.5,4.7,11.3,36,Low
6.7,3.2,9.2,8.6,39,Low
7.6,2.4,7.4,2.8,23,Low
7.3,8.8,6.5,11.2,67,Moderate
5.4,3.0,3.8,9.0,36,Low
8.8,9.8,8.4,11.4,63,Moderate
7.7,4.0,9.6,11.0,39,Low
6.8,2.6,8.4,11.6,35,Low
7.1,8.1,1.0,8.2,67,Moderate
6.1,6.9,6.7,3.7,53,Moderate
5.2,5.5,1.5,10.1,71,Moderate
5.8,6.0,3.3,9.4,59,Moderate
7.8,7.5,1.5,10.9,62,Moderate
4.1,3.1,6.4,4.0,35,Low
4.6,10.0,7.2,4.3,64,Moderate
4.2,9.8,2.0,12.7,99,High
4.2,6.9,4.5,11.0,72,Moderate
8.3,2.8,5.1,12.9,48,Moderate
7.5,7.1,4.3,11.1,74,Moderate
6.4,1.6,2.1,9.2,47,Moderate
4.5,1.3,4.8,9.8,44,Low
6.5,3.3,7.8,12.7,47,Moderate
6.4,5.2,1.6,8.9,58,Moderate
4.9,8.8,1.7,9.6,89,High
6.2,7.5,4.2,3.9,50,Moderate
6.0,7.7,9.5,7.7,54,Moderate
7.1,4.8,7.0,10.6,49,Moderate
7.2,4.1,7.1,5.3,29,Low
4.2,4.3,4.3,4.4,40,Low
5.9,9.9,6.3,5.8,67,Moderate
7.1,1.4,1.1,4.9,30,Low
6.5,8.8,6.7,4.6,57,Moderate
8.3,6.2,9.2,7.1,35,Low
7.3,4.9,6.5,12.9,62,Moderate
4.8,7.5,8.9,8.1,55,Moderate
4.4,5.4,7.5,4.3,53,Moderate
7.2,8.9,2.1,2.9,49,Moderate
4.1,9.1,9.1,10.4,76,High
6.9,4.8,1.6,6.6,52,Moderate
8.7,3.5,5.8,11.9,39,Low
6.9,6.3,2.3,9.9,66,Moderate
5.9,9.2,1.1,11.6,93,High
7.2,2.9,4.8,5.3,20,Low
6.3,6.6,3.7,10.3,68,Moderate
6.7,6.7,5.4,5.2,36,Low
8.7,7.6,6.2,13.3,59,Moderate
5.9,2.2,1.4,9.6,58,Moderate
8.8,7.4,2.1,5.9,50,Moderate
8.5,9.2,6.0,5.2,46,Moderate
5.0,2.6,4.1,4.3,35,Low
4.3,3.1,7.6,10.3,59,Moderate
4.5,9.7,6.9,4.6,56,Moderate
4.1,2.6,8.6,9.1,37,Low
4.5,8.7,7.2,5.2,69,Moderate
7.4,5.4,4.9,9.9,62,Moderate
4.4,3.2,7.1,11.8,54,Moderate
5.6,8.8,3.5,11.3,75,High
8.2,5.0,3.8,11.1,64,Moderate
4.1,5.6,8.1,4.3,53,Moderate
8.1,4.2,5.0,3.1,31,Low
5.4,6.3,8.2,10.4,55,Moderate
4.6,2.5,8.4,6.4,34,Low
7.5,4.5,8.7,7.2,33,Low
7.1,9.7,9.2,2.4,47,Moderate
8.4,3.3,4.9,5.1,35,Low
7.7,6.9,3.9,2.4,46,Moderate
8.0,3.9,6.2,12.6,43,Low
5.4,8.0,4.3,4.9,67,Moderate
4.9,2.2,6.4,8.7,43,Low
7.8,9.7,7.4,2.5,51,Moderate
8.0,5.1,7.2,10.0,52,Moderate
9.0,3.1,4.4,5.9,23,Low
6.1,1.7,2.5,12.8,53,Moderate
5.9,2.5,4.9,12.7,50,Moderate
7.9,5.7,2.3,5.9,40,Low
5.7,4.0,9.0,12.8,53,Moderate
8.7,8.5,4.1,14.0,86,High
8.3,4.9,2.4,11.9,48,Moderate
6.1,3.2,1.2,12.1,60,Moderate
7.8,6.6,6.8,5.0,44,Low
7.8,7.4,6.7,8.9,55,Moderate
4.5,2.5,4.1,2.8,33,Low
8.5,2.5,1.6,3.1,19,Low
6.5,1.3,4.7,14.0,49,Moderate
8.1,7.6,3.8,5.9,49,Moderate
5.6,7.0,7.1,11.0,54,Moderate
8.5,5.3,6.5,11.7,56,Moderate
5.9,8.6,4.3,12.3,84,High
4.1,8.3,3.0,14.0,92,High
8.5,6.3,9.9,4.9,31,Low
4.5,8.8,5.1,2.5,65,Moderate
5.6,2.9,7.2,6.9,37,Low
8.8,2.0,2.3,3.6,27,Low
8.8,3.4,5.4,2.3,18,Low
6.9,1.5,1.2,6.3,42,Low
7.2,5.8,5.5,11.4,59,Moderate
6.2,9.4,9.7,8.8,64,Moderate
5.5,1.4,4.5,5.8,26,Low
5.6,2.1,1.4,9.9,53,Moderate
7.4,5.1,1.3,4.8,42,Low
7.8,9.4,4.5,2.2,48,Moderate
8.0,3.8,2.4,11.2,48,Moderate
7.9,5.6,1.2,9.5,53,Moderate
4.5,1.4,7.8,11.1,53,Moderate
6.5,2.3,5.1,2.5,30,Low
4.3,9.9,3.6,12.0,100,High
6.7,9.7,9.1,9.4,59,Moderate
6.2,1.0,2.0,8.8,41,Low
8.4,9.6,9.6,9.5,51,Moderate
5.8,6.8,3.8,12.4,70,Moderate
4.6,8.8,9.0,9.0,63,Moderate
4.7,5.1,6.4,9.0,62,Moderate
7.8,5.6,8.4,13.9,53,Moderate
7.1,5.4,9.9,11.1,52,Moderate
4.5,7.0,3.6,7.3,69,Moderate
4.4,2.3,9.7,10.5,53,Moderate
7.5,1.3,4.5,6.7,19,Low
4.4,3.8,4.5,4.7,50,Moderate
8.1,7.3,4.1,9.2,65,Moderate
7.5,2.8,5.9,13.1,42,Low
4.4,7.1,2.4,13.1,89,High
4.4,9.7,6.0,6.1,73,Moderate
8.9,1.8,5.9,8.3,24,Low
5.9,7.1,7.9,4.5,42,Low
5.9,5.0,8.5,13.9,56,Moderate
8.1,8.8,5.0,13.8,86,High
8.7,2.6,3.7,9.8,38,Low
8.9,7.2,3.3,11.7,67,Moderate
7.8,8.5,2.8,10.6,68,Moderate
5.9,9.5,1.5,9.1,78,High
4.4,7.1,4.1,2.6,60,Moderate
7.9,5.5,3.4,7.5,42,Low
6.8,6.6,9.7,10.1,49,Moderate
6.1,8.8,6.0,10.1,71,Moderate
8.5,6.1,4.1,6.5,46,Moderate
4.6,1.3,6.2,13.3,49,Moderate
6.5,9.4,2.3,4.0,67,Moderate
4.1,7.2,5.0,8.0,71,Moderate
6.3,7.1,6.6,10.3,65,Moderate
4.3,2.9,5.4,10.4,48,Moderate
4.6,6.9,4.6,9.8,68,Moderate
4.6,4.5,9.9,5.3,43,Low
7.2,6.9,8.9,3.9,41,Low
7.7,2.0,6.6,9.6,25,Low
6.9,6.9,6.1,9.2,59,Moderate
8.8,10.0,6.6,4.2,41,Low
5.9,1.4,2.8,10.5,46,Moderate
5.4,9.8,4.6,7.5,84,High
8.3,4.7,1.4,10.0,49,Moderate
5.1,8.8,5.3,12.0,77,High
8.8,8.0,5.9,4.0,47,Moderate
4.1,6.1,3.0,2.2,45,Moderate
8.8,7.6,9.7,11.3,49,Moderate
4.2,8.9,9.2,9.3,73,Moderate
8.5,4.6,7.5,10.4,39,Low
6.6,3.9,5.8,12.1,51,Moderate
9.0,7.0,8.8,11.6,55,Moderate
4.4,8.3,2.2,13.5,93,High
6.8,7.9,8.1,8.4,57,Moderate
8.8,8.2,2.1,7.9,59,Moderate
6.6,4.9,8.1,6.8,41,Low
7.1,8.4,3.5,3.8,54,Moderate
7.5,2.1,8.9,8.9,29,Low
6.3,5.9,9.5,5.3,36,Low
7.1,1.1,2.3,13.1,46,Moderate
6.9,3.9,5.2,9.0,40,Low
8.5,4.3,9.8,9.1,32,Low
4.2,4.6,5.4,6.3,46,Moderate
5.4,7.3,8.8,2.6,37,Low
8.8,4.5,6.3,2.4,24,Low
8.5,5.0,4.4,7.1,43,Low
6.3,3.1,3.6,3.0,36,Low
7.1,4.4,2.8,9.3,50,Moderate
5.4,3.0,7.9,12.6,52,Moderate
4.9,1.7,4.5,12.6,55,Moderate
6.3,6.4,5.6,9.9,62,Moderate
5.8,7.0,5.4,4.5,47,Moderate
6.9,6.6,6.2,12.4,64,Moderate
4.4,5.2,8.8,12.6,63,Moderate
8.9,4.4,9.8,4.4,20,Low
8.9,8.8,4.7,10.8,55,Moderate
7.5,5.7,8.4,5.4,36,Low
6.7,5.3,7.9,11.6,64,Moderate
5.5,1.2,6.2,14.0,46,Moderate
8.1,4.1,9.6,2.4,13,Low
7.4,4.4,2.8,12.8,62,Moderate
4.8,4.6,2.0,9.5,65,Moderate
8.6,6.2,8.7,13.7,60,Moderate
8.1,5.8,5.0,7.6,40,Low
8.7,6.5,8.6,12.2,55,Moderate
7.6,7.9,9.0,2.7,40,Low
7.1,8.3,1.6,6.0,63,Moderate
6.1,7.5,9.0,2.8,43,Low
8.7,9.6,5.0,13.7,82,High
8.3,1.2,5.6,11.8,38,Low
4.2,2.8,6.6,12.2,49,Moderate
4.1,1.1,9.3,13.3,48,Moderate
5.9,6.8,1.2,3.0,55,Moderate
8.1,9.1,5.3,6.6,59,Moderate
8.9,3.2,7.2,2.9,16,Low
4.8,9.3,7.5,4.5,60,Moderate
7.0,1.5,7.2,4.8,25,Low
5.9,9.4,2.2,7.6,75,High
8.8,4.2,3.7,5.2,27,Low
8.2,1.9,4.2,3.2,17,Low
8.2,5.4,8.2,4.0,29,Low
6.3,3.3,3.5,3.8,41,Low
6.1,3.6,2.9,13.7,66,Moderate
5.4,3.8,9.6,11.1,42,Low
4.3,8.2,1.1,13.6,100,High
8.3,5.9,10.0,7.3,36,Low
8.1,3.8,7.1,5.3,34,Low
9.0,6.5,8.5,11.6,49,Moderate
9.0,7.4,3.7,5.9,52,Moderate
6.8,3.5,1.1,5.6,47,Moderate
7.8,4.7,7.6,4.8,36,Low
8.7,2.1,8.5,3.6,16,Low
8.2,2.6,7.7,5.1,24,Low
5.2,7.1,2.3,6.3,63,Moderate
6.3,2.6,7.8,10.1,36,Low
4.6,5.7,7.9,2.8,42,Low
8.8,7.4,6.9,4.5,44,Low
7.0,2.0,7.9,11.7,36,Low
5.1,6.1,8.6,3.8,46,Moderate
7.4,3.3,6.5,6.1,38,Low
7.1,9.7,1.8,12.4,81,High
5.8,5.4,5.4,3.9,38,Low
4.6,8.3,1.7,3.0,64,Moderate
7.4,6.0,4.7,7.8,52,Moderate
6.6,1.4,4.7,5.6,25,Low
7.9,6.7,1.6,8.8,68,Moderate
6.6,9.6,4.1,11.6,82,High
8.3,6.4,2.0,3.6,45,Moderate
6.8,8.4,8.3,9.0,52,Moderate
6.8,9.0,9.5,8.1,51,Moderate
8.4,3.1,1.7,3.7,31,Low
6.0,2.9,9.6,9.5,25,Low
4.7,6.5,5.7,5.3,59,Moderate
4.1,4.7,3.7,7.9,58,Moderate
7.8,8.6,1.7,3.0,71,Moderate
7.1,9.1,5.5,7.5,75,High
7.5,4.2,8.2,5.7,29,Low
5.1,3.1,7.4,11.9,50,Moderate
4.7,8.0,1.5,2.7,68,Moderate
4.1,3.5,1.7,7.0,64,Moderate
5.8,8.4,4.6,7.5,58,Moderate
6.9,4.8,3.7,10.7,47,Moderate
6.0,7.0,3.1,8.9,63,Moderate
6.2,1.9,3.5,10.0,47,Moderate
8.5,6.6,8.2,11.3,54,Moderate
5.7,5.1,9.4,12.3,60,Moderate
6.6,6.3,4.6,5.8,44,Low
7.9,2.5,9.2,8.5,14,Low
6.0,7.6,3.9,12.1,80,High
7.1,8.8,5.3,13.9,74,Moderate
8.3,3.0,3.0,12.7,39,Low
8.7,1.9,6.8,6.5,21,Low
4.7,1.2,9.8,4.3,24,Low
8.6,6.8,6.4,7.9,46,Moderate
6.5,6.5,4.2,10.9,62,Moderate
5.3,5.9,6.8,7.9,53,Moderate
6.3,3.1,2.1,7.8,45,Moderate
8.9,4.5,9.0,12.1,34,Low
6.5,6.4,5.5,6.3,47,Moderate
5.6,5.5,5.0,12.3,68,Moderate
7.2,9.9,6.3,6.9,65,Moderate
5.2,2.2,6.6,5.9,34,Low
4.4,7.3,1.6,7.4,67,Moderate
4.6,4.6,7.1,11.1,57,Moderate
4.6,4.9,3.2,3.5,37,Low
4.8,7.5,7.4,4.4,53,Moderate
4.7,7.2,8.4,13.4,79,High
7.2,9.9,8.2,4.1,45,Moderate
4.9,2.2,6.0,8.8,39,Low
5.7,1.9,5.7,9.0,41,Low
8.5,7.5,2.3,7.9,65,Moderate
6.4,6.2,8.0,9.7,51,Moderate
7.3,3.5,3.4,4.8,31,Low
4.9,1.7,5.5,8.6,31,Low
5.0,1.8,3.6,6.5,40,Low
4.2,9.0,2.2,9.9,96,High
4.8,2.7,6.7,3.7,32,Low
5.4,3.9,1.5,8.9,57,Moderate
4.9,3.0,7.7,4.2,33,Low
4.4,4.2,3.9,5.3,48,Moderate
4.6,1.6,1.0,4.6,36,Low
6.3,5.7,5.6,4.2,46,Moderate
5.0,1.6,1.4,11.9,57,Moderate
5.8,8.2,3.5,5.4,63,Moderate
6.5,3.1,7.4,13.1,44,Low
7.5,5.9,1.6,13.6,77,High
4.2,8.9,8.6,8.9,73,Moderate
8.0,6.9,1.0,3.7,47,Moderate
7.1,5.8,3.2,6.5,55,Moderate
4.4,3.9,7.7,11.6,53,Moderate
8.4,4.0,3.8,6.4,33,Low
8.6,7.0,1.9,3.0,41,Low
4.3,9.9,4.2,8.7,74,Moderate
5.4,7.0,3.4,12.1,78,High
8.0,6.0,8.6,11.6,41,Low
7.7,7.6,3.8,4.1,43,Low
4.9,5.2,8.1,10.1,44,Low
5.0,1.5,9.0,4.6,22,Low
5.9,6.1,4.9,4.6,47,Moderate
6.4,9.6,9.2,12.5,72,Moderate
7.1,2.6,4.4,5.0,25,Low
5.8,7.2,9.7,5.2,39,Low
6.3,2.8,1.8,2.0,34,Low
7.7,5.8,7.2,12.4,53,Moderate
4.2,1.9,5.4,11.5,53,Moderate
5.3,5.1,4.5,9.5,54,Moderate
7.6,7.8,6.7,11.0,63,Moderate
8.5,4.1,7.3,3.8,30,Low
